# timestamp tx ty tz qx qy qz qw
1679941036.573000 -29.078979 -5.587568 0.033430 -0.148832 -0.048670 -0.014817 0.987553
1679941036.607000 -29.061812 -5.261394 0.978584 -0.150889 -0.048678 -0.017000 0.987205
1679941036.842000 -30.030824 -5.447440 0.816091 -0.152423 -0.046549 -0.022377 0.986965
1679941036.907000 -30.401306 -5.710007 -0.074864 -0.152244 -0.047946 -0.028891 0.986756
1679941037.008000 -30.751658 -5.293586 0.764092 -0.150562 -0.049842 -0.028665 0.986927
1679941037.142000 -30.165674 -5.462794 -0.028367 -0.147387 -0.055275 -0.026495 0.987178
1679941037.175000 -29.767738 -5.373436 0.884684 -0.146712 -0.056117 -0.027644 0.987199
1679941037.274000 -29.173241 -5.498184 1.679046 -0.150541 -0.068296 -0.023537 0.985961
1679941037.308000 -29.238368 -5.837781 0.740732 -0.151310 -0.071119 -0.022369 0.985671
1679941037.441000 -28.756306 -5.977807 1.605608 -0.147100 -0.071688 -0.026857 0.986155
1679941037.673000 -29.223730 -5.371608 2.249066 -0.146501 -0.070465 -0.022537 0.986440
1679941037.740000 -29.352250 -5.126285 3.209951 -0.147956 -0.068730 -0.020392 0.986392
1679941037.773000 -29.628866 -4.990552 4.161297 -0.148690 -0.067333 -0.018032 0.986424
1679941037.809000 -28.734591 -4.982273 4.608738 -0.148690 -0.067333 -0.018032 0.986424
1679941037.841000 -27.878443 -5.034318 5.122840 -0.148690 -0.067333 -0.018032 0.986424
1679941037.907000 -28.780365 -5.395906 4.886641 -0.151971 -0.048617 -0.011253 0.987124
1679941037.942000 -28.022104 -5.549865 4.253130 -0.149246 -0.046124 -0.010603 0.987667
1679941038.075000 -28.911943 -5.097133 4.309860 -0.123214 -0.006904 -0.000753 0.992356
1679941038.240000 -29.507836 -4.569223 4.915024 -0.120737 0.001872 -0.001558 0.992682
1679941038.309000 -28.635613 -4.593270 5.403540 -0.121824 -0.002229 -0.006637 0.992527
1679941038.474000 -29.589227 -4.558607 5.702569 -0.128795 0.019758 -0.005809 0.991457
1679941038.607000 -30.279980 -4.501832 6.423428 -0.137900 0.026959 -0.001282 0.990078
1679941038.742000 -31.131942 -5.023369 6.376956 -0.147887 0.040064 -0.000771 0.988192
1679941038.844000 -31.296238 -5.363467 5.451029 -0.144706 0.043535 -0.003430 0.988510
1679941038.907000 -31.362347 -5.546262 4.470103 -0.140759 0.044079 -0.005798 0.989045
1679941038.976000 -31.394129 -5.295179 5.437547 -0.141096 0.043116 -0.003770 0.989049
1679941039.075000 -31.763849 -5.019848 6.324959 -0.143720 0.045014 -0.005794 0.988577
1679941039.108000 -32.110243 -4.734439 7.218577 -0.144128 0.047635 -0.006674 0.988389
1679941039.243000 -32.920924 -4.609184 7.790510 -0.141908 0.057903 -0.003801 0.988178
1679941039.307000 -33.338937 -5.057297 7.000282 -0.138398 0.062794 0.004847 0.988372
1679941039.374000 -33.491689 -4.695373 7.919890 -0.133006 0.065393 0.010000 0.988905
1679941039.474000 -34.406482 -4.568986 8.303531 -0.131484 0.078094 0.015939 0.988109
1679941039.542000 -34.717183 -4.719391 7.364998 -0.133400 0.079426 0.019048 0.987691
1679941039.641000 -35.302118 -4.688252 8.175481 -0.140971 0.081447 0.018631 0.986482
1679941039.674000 -35.170533 -4.370389 9.114442 -0.141712 0.080614 0.018315 0.986450
1679941039.775000 -34.257163 -4.192550 8.748209 -0.144851 0.073692 0.012076 0.986632
1679941039.810000 -34.554761 -4.452566 7.829608 -0.147384 0.073698 0.012235 0.986254
1679941039.909000 -35.370258 -4.369806 8.402422 -0.151934 0.079439 0.010919 0.985133
1679941040.008000 -35.882809 -4.687507 7.604702 -0.157981 0.080652 0.012749 0.984060
1679941040.041000 -35.768486 -4.469375 8.573902 -0.159404 0.081368 0.015561 0.983731
1679941040.241000 -36.725312 -4.179847 8.599537 -0.158542 0.094533 0.012088 0.982742
1679941040.309000 -36.551419 -3.851422 9.527922 -0.156895 0.097545 0.009156 0.982744
1679941040.441000 -37.476294 -4.218390 9.428214 -0.162567 0.124499 -0.001517 0.978810
1679941040.543000 -38.240490 -3.929695 10.004981 -0.161664 0.141143 -0.006260 0.976680
1679941040.641000 -39.076399 -3.669365 10.488183 -0.163317 0.155003 -0.005655 0.974305
1679941040.677000 -38.807162 -3.498788 11.436030 -0.163075 0.157550 -0.003498 0.973947
1679941040.842000 -39.782639 -3.718615 11.447047 -0.156914 0.187102 0.008866 0.969687
1679941040.974000 -40.600103 -3.983286 10.935480 -0.153377 0.192677 0.012884 0.969116
1679941041.141000 -41.571029 -4.123606 11.129423 -0.152566 0.201791 0.005447 0.967458
1679941041.208000 -41.817874 -3.866452 12.063736 -0.149874 0.209886 0.000118 0.966171
1679941041.309000 -42.547007 -3.479002 12.627869 -0.141422 0.231040 -0.003537 0.962605
1679941041.343000 -41.895698 -3.427055 13.384901 -0.141474 0.230172 -0.004194 0.962802
1679941041.410000 -42.766262 -3.194226 13.818386 -0.142105 0.235124 -0.005610 0.961505
1679941041.443000 -42.547190 -2.759081 14.691687 -0.142667 0.234330 -0.003058 0.961627
1679941041.509000 -42.570032 -2.563453 15.672100 -0.143548 0.233376 -0.000445 0.961733
1679941041.540000 -42.306036 -2.169421 16.552466 -0.142756 0.233391 0.000520 0.961847
1679941041.609000 -41.830302 -1.955842 17.405731 -0.142429 0.234958 0.004175 0.961505
1679941041.708000 -41.902382 -1.699779 18.369700 -0.141538 0.244456 0.012106 0.959198
1679941041.810000 -42.644498 -1.925684 17.738645 -0.133216 0.249079 0.005099 0.959264
1679941041.874000 -42.313532 -1.903323 18.682022 -0.133639 0.248651 0.003726 0.959322
1679941041.941000 -42.949574 -2.128423 17.943930 -0.137324 0.251662 0.001264 0.958022
1679941042.040000 -42.733600 -1.906431 18.894758 -0.137064 0.254722 0.000992 0.957251
1679941042.308000 -41.740396 -2.020153 18.869991 -0.126591 0.253685 0.001155 0.958967
1679941042.408000 -42.708171 -2.219284 19.024127 -0.129798 0.281714 0.007598 0.950648
1679941042.474000 -43.448396 -2.112796 19.688000 -0.129423 0.295401 0.006615 0.946543
1679941042.640000 -44.194852 -2.085359 20.352869 -0.132455 0.340375 0.008361 0.930876
1679941042.708000 -45.102276 -2.425120 20.105593 -0.136909 0.345186 0.010309 0.928437
1679941042.807000 -45.911145 -2.454960 20.692824 -0.142970 0.351333 0.012760 0.925182
1679941042.911000 -46.902416 -2.541829 20.791999 -0.147096 0.352891 0.014967 0.923908
1679941042.973000 -47.779204 -2.760700 20.363819 -0.150363 0.354704 0.019556 0.922601
1679941043.006000 -47.580903 -2.498473 21.308231 -0.152526 0.356278 0.022339 0.921576
1679941043.110000 -46.639488 -2.444067 20.975397 -0.159563 0.346938 0.021147 0.923973
1679941043.208000 -47.570230 -2.463328 21.340565 -0.161992 0.346739 0.017410 0.923703
1679941043.276000 -48.397867 -2.407328 21.899029 -0.162489 0.360865 0.013310 0.918257
1679941043.406000 -49.150950 -2.337197 22.553206 -0.163897 0.392332 0.006331 0.905082
1679941043.475000 -49.157332 -2.377690 21.554047 -0.162294 0.399570 0.003619 0.902215
1679941043.542000 -49.366679 -2.087369 22.487796 -0.153769 0.408805 0.002799 0.899570
1679941043.574000 -48.818372 -2.123972 21.652321 -0.149039 0.406818 0.001651 0.901268
1679941043.641000 -49.600036 -2.338189 22.238078 -0.143553 0.433595 0.007637 0.889567
